Started At,Duration,Preset,Activity
10/08/2019 01:09:45,0:13:35,,PracticeType.Meditation
10/07/2019 23:47:10,0:12:22,,PracticeType.Meditation
10/07/2019 02:48:46,0:12:22,,PracticeType.Meditation
08/23/2019 02:05:21,0:13:34,,PracticeType.Meditation
08/23/2019 01:59:06,0:5:45,,PracticeType.Meditation
07/02/2019 02:26:58,0:19:43,,PracticeType.Meditation
06/21/2019 15:53:29,0:7:24,,PracticeType.Meditation
04/09/2019 01:10:42,0:17:50,,PracticeType.Meditation
04/06/2019 19:52:19,0:9:6,,PracticeType.Meditation
04/05/2019 09:38:00,0:20:9,,PracticeType.Meditation
04/05/2019 01:46:59,0:17:50,,PracticeType.Meditation
03/05/2019 02:25:06,0:7:22,,PracticeType.Meditation
12/16/2018 02:12:09,0:5:2,,PracticeType.Meditation
12/13/2018 14:07:51,0:16:11,,PracticeType.Meditation
12/13/2018 02:13:22,0:5:2,,PracticeType.Meditation
12/08/2018 01:52:27,0:5:2,,PracticeType.Meditation
12/05/2018 01:22:55,0:17:45,,PracticeType.Meditation
12/04/2018 02:28:44,0:22:20,,PracticeType.Meditation
12/03/2018 02:17:51,0:16:12,,PracticeType.Meditation
12/03/2018 02:15:27,0:0:4,,PracticeType.Meditation
12/01/2018 22:42:46,0:14:11,,PracticeType.Meditation
12/01/2018 22:36:04,0:5:20,,PracticeType.Meditation
12/01/2018 03:58:32,0:5:2,,PracticeType.Meditation
11/30/2018 02:03:47,0:19:59,,PracticeType.Meditation
11/29/2018 14:29:27,0:7:24,,PracticeType.Meditation
11/28/2018 18:26:48,0:12:22,,PracticeType.Meditation
11/17/2018 00:27:27,0:10:12,,PracticeType.Meditation
11/17/2018 00:14:52,0:12:22,,PracticeType.Meditation
11/14/2018 02:28:34,0:5:2,,PracticeType.Meditation
11/07/2018 23:34:14,0:12:22,,PracticeType.Meditation
11/07/2018 23:21:39,0:12:22,,PracticeType.Meditation
11/07/2018 01:41:48,0:5:2,,PracticeType.Meditation
11/06/2018 02:08:53,0:10:0,,PracticeType.Meditation
11/05/2018 00:45:47,0:10:0,,PracticeType.Meditation
11/02/2018 02:12:13,0:5:2,,PracticeType.Meditation
11/01/2018 02:12:25,0:5:1,,PracticeType.Meditation
10/31/2018 02:50:16,0:5:2,,PracticeType.Meditation
10/25/2018 01:54:57,0:5:1,,PracticeType.Meditation
10/23/2018 21:03:12,0:10:0,,PracticeType.Meditation
10/23/2018 21:01:51,0:0:43,,PracticeType.Meditation
10/23/2018 01:02:37,0:19:59,,PracticeType.Meditation
10/20/2018 19:24:23,0:9:26,,PracticeType.Meditation
10/20/2018 18:58:02,0:17:8,,PracticeType.Meditation
10/16/2018 02:08:54,0:5:2,,PracticeType.Meditation
10/14/2018 16:45:46,0:12:21,,PracticeType.Meditation
10/13/2018 01:58:38,0:12:22,,PracticeType.Meditation
10/12/2018 02:10:35,0:5:6,,PracticeType.Meditation
10/11/2018 01:04:56,0:12:22,,PracticeType.Meditation
10/04/2018 04:13:46,0:4:15,,PracticeType.Meditation
10/03/2018 01:50:38,0:12:49,,PracticeType.Meditation
10/02/2018 02:17:16,0:4:15,,PracticeType.Meditation
